Transcription-Units	Accession-1
TU601	b1089 // b1088
TU0-14648	b2513
TU0-13776	b2873
TU0-14319	b4348 // b4349 // b4350
TU0-8547	b0287
TU0-13168	b4521
TU0-13107	b0986 // b0985 // b0984
TU0-13193	b1257 // b1258 // b1259
TU0-12809	b0096
TU0-13605	b2363 // b2362 // b2361
TU0-1981	b4376
TU0-8528	b0452
TU0-13669	b2562
TU0-14414	b2779
TU0-13521	b4499 // b2118
TU0-14127	b4078
TU0-13171	b1181
TU0-13491	b2015
TU00044	b1224 // b1225 // b1226 // b1227
TU0-8787	b2133
TU0-14054	b3843
TU00028	b3868 // b3869
TU0-14026	b3716
TU0-1022	b2673 // b2674 // b2676 // b2675
TU0-13909	b3291
TU0-5564	b2964 // b2963 // b2962
TU0-1041	b4716 // b4484
TU0-3963	b0588 // b0589 // b0590
TU0-4405	b2556
TU0-8822	b3396
TU0-5182	b2317 // b2318 // b2319 // b2320
TU701	b2679 // b2678 // b2677
TU00510	b1032
TU0-1822	b0570 // b0571
TU863	b1248 // b1249
TU0-13966	b3521
TU0-42603	b3256 // b3255
TU0-14717	b4446
TU0-8380	b1677
TU0-13078	b0888
TU0-14299	b0020
TU0-42568	b0390 // b0389 // b0388
TU0-12804	b0065
TU0-13571	b2266
TU0-42697	b2799
TU0-8774	b0126
TU0-42517	b3766
TU0-42448	b1284
TU0-8689	b1205
TU0-5682	b4718 // b3514 // b3513 // b3512
TU0-12987	b0579
TU0-42571	b2840 // b2841
TU0-42577	b2579
TU0-14274	b3284
TU0-8730	b2251
TU221	b3461
TU00438	b3067
TU0-13760	b2848 // b2847
TU0-14097	b3964 // b3963
TU0-194009	b1465 // b1466 // b1467 // b1468 // b1469
TU0-6554	b3360
TU00327	b2217
TU0-13599	b2347
TU0-13260	b1426
TU0-14501	b4237
TU0-14797	b4698
TU0-8473	b1634
TU0-8680	b0965
TU-8438	b1902
TU0-13301	b1520
TU00426	b3461
TU0-13879	b3160
TU0-13329	b1573 // b1572 // b1571
TU0-13470	b1974
TU0-2443	b4241
TU0-14165	b4222 // b4221 // b4220
TU0-7681	b1546 // b1547 // b1548
TU0-12964	b0527
TU0-8502	b4181 // b4180 // b4179 // b4178
TU00253	b4397 // b4398 // b4399 // b4400
TU0-12786	b4403
TU0-42481	b1779
TU0-45261	b1280 // b1279
TU0-12941	b0458
TU00241	b2715 // b2716
TU0-8598	b3689
TU0-45153	b3021
TU0-14039	b3794 // b3793 // b4481 // b3792 // b3791 // b3790 // b3789 // b3788 // b3787 // b3786 // b3785 // b3784
TU0-42202	b3230
TU0-8576	b3155
TU0-1782	b1203
TU0-2421	b4702 // b4242
TU0-8488	b4021
TU0-12982	b0561
TU-8390	b0884
TU0-3741	b3940 // b3939
TU0-13125	b1053
TU0-8752	b2986
TU0-14398	b3357
TU0-14042	b3812 // b3811 // b3810 // b3809 // b4558
TU0-14296	b3901
TU0-14194	b4306
TU00388	b1283
TU0-14558	b2754 // b2755 // b2756 // b2757
TU0-42511	b2018
TU0-42608	b2665 // b2666
TU0-14372	b0206
TU0-4981	b3414 // b3413
TU0-13113	b1001
TU0-14166	b4231 // b4230 // b4485 // b4227
TU0-13292	b1498
TU0-14093	b3954
TU0-13091	b0927 // b0926
TU359	b4137
TU0-14742	b4718 // b3514 // b3513 // b3512
TU0-14714	b2429 // b2428
TU0-45267	b3700 // b3701
TU0-36440	b4041
TU00097	b4592 // b0978 // b0979 // b0980
TU0-1762	b1482
TU0-13822	b3009
TU0-13143	b1122 // b1121
TU0-13584	b2298
TU0-198714	b3540 // b3541 // b3542 // b3543
TU0-13002	b4581
TU0-8626	b4340
TU0-14552	b4092 // b4093 // b4094 // b4095 // b4096
TU00342	b2570 // b2571 // b2572 // b2573
TU0-45279	b3511
TU0-8808	b4480
TU0-13696	b2638
TU0-42582	b0758 // b0759
TU0-8061	b3919
TU0-8874	b0237
TU0-14769	b4671
TU0-14167	b4235
TU00442	b2741
TU0-13737	b2793
TU00232	b2316
TU0-8791	b1193
TU0-13284	b1473
TU0-13426	b1832
TU00445	b0882
TU0-2402	b0351 // b0352 // b0350 // b0349 // b0348 // b0347
TU0-8823	b2324
TU0-8367	b1235 // b1234
TU0-12966	b0530
TU0-14555	b3594
TU0-5481	b1591 // b1590 // b1589 // b1588 // b1587
TU0-2581	b1102
TU0-3501	b3237
TU0-12937	b0449 // b0448
TU0-8847	b3647
TU0-13283	b1472 // b1471 // b1470
TU0-14152	b4176
TU0-14745	b3236
TU0-8628	b4358
TU0-14448	b0890
TU0-1004	b1744 // b1745 // b1746 // b1747 // b1748
TU0-12842	b0212
TU0-36418	b3724 // b3725 // b3726 // b3727
TU0-13792	b2909 // b2908 // b2907 // b2906
TU0-13877	b3157 // b3156
TU0-8700	b1422
TU0-36422	b1521
TU0-14496	b1636
TU0-1198	b3494
TU0-5568	b2963 // b2962 // b2961
TU0-13484	b4538
TU0-8521	b2576
TU0-14016	b3683 // b3682 // b4556
TU0-14678	b0861 // b0862 // b0863 // b0864
TU0-14290	b3197 // b3196
TU0-8804	b3653
TU0-45203	b3919
TU0-13236	b1373 // b1372
TU0-13148	b1142 // b1141 // b1140
TU0-13118	b1029 // b1028
TU0-8351	b1060
TU0-13342	b1598
TU0-42484	b4707
TU0-13981	b4553
TU0-8354	b3531 // b3532
TU0-13075	b0871 // b0870 // b0869
TU0-1187	b2588 // b2589 // b2590 // b2591
TU0-14536	b2975 // b2976
TU0-12807	b0076
TU0-13077	b0885
TU0-13964	b3514 // b3513
TU00166	b0593 // b0594 // b0595 // b0596 // b0597
TU0-3862	b0020 // b0019
TU0-2621	b1679 // b1680 // b1681 // b1682 // b1683 // b1684
TU0-41901	b1916
TU0-45177	b0758 // b0759
TU0-14550	b1308 // b1307 // b1306 // b1305
TU0-8733	b2331
TU0-198710	b1576 // b1575 // b1574 // b1573 // b1572 // b1571
TU0-14478	b3414
TU0-12796	b0022 // b0021
TU0-8586	b3491
TU0-14237	b4606
TU0-42474	b1981
TU0-8864	b1636 // b1637 // b1638
TU0-36404	b3717 // b3716
TU0-8867	b4360 // b4361 // b4362 // b4363
TU00468	b4122 // b4123
TU0-4141	b2893
TU0-14029	b3741 // b3740
TU00012	b0112
TU0-8583	b3459
TU0-6042	b0591
TU0-14204	b4584
TU0-45188	b2942
TU0-12861	b0254
TU0-8755	b3039
TU0-13712	b2681
TU0-1063	b3347
TU0-7603	b0514 // b0513 // b0512 // b0511 // b0509 // b0508 // b0507
TU0-14008	b3659
TU0-7806	b0154
TU0-42583	b0757 // b0758 // b0759
TU0-5101	b2029
TU00502	b3069
TU0-4961	b4321
TU0-2649	b1469
TU00079	b2414
TU00023	b4151 // b4152 // b4153 // b4154
TU00487	b3202 // b3203 // b3204 // b3205 // b3206
TU0-13026	b0702 // b0700
TU0-13122	b1044
TU21	b0742 // b0741 // b0740
TU0-12989	b0581
TU-8398	b3205 // b3204 // b3203 // b3202 // b3201
TU404	b3423
TU00420	b3049
TU0-13951	b3484
TU0-14613	b0382
TU721	b0849
TU0-45181	b1241
TU0-14369	b1856
TU0-13770	b2864
TU0-8579	b3402
TU0-1283	b0683
TU0-13388	b1756 // b1755 // b1754 // b1753 // b1752 // b1751 // b1750
TU0-6405	b4258
TU00478	b3356
TU0-12785	b4402
TU0-13381	b1724
TU0-1141	b1101
TU0-1482	b2323
TU0-13256	b1420
TU0-13238	b1375
TU0-8637	b1451
TU0-13281	b1464
TU0-13505	b2081
TU0-14772	b4255
TU0-12895	b0325
TU0-44220	b0714
TU00061	b0945
TU0-13103	b0967
TU0-12981	b0560
TU0-13622	b2413
TU0-8650	b2376
TU0-14548	b4175 // b4174 // b4173 // b4172
TU0-8336	b4232
TU0-8302	b2297
TU0-7202	b2542 // b2541 // b2540 // b2539 // b2538
TU0-14451	b0872 // b0873
TU0-4184	b0179
TU0-13727	b2765
TU0-13861	b3090
TU0-14488	b0059
TU0-13217	b1328
TU0-6581	b3135 // b3134 // b3133 // b3132
TU0-8677	b0956
TU0-13310	b1539
TU00116	b0314
TU0-7061	b4223
TU0-14332	b4603
TU0-42590	b2784
TU0-13094	b0938
TU0-198697	b1243
TU00053	b0399 // b0400
TU0-1192	b3272 // b3273 // b3274 // b3275 // b3276 // b3277 // b3278
TU00307	b0568 // b0569
TU0-13428	b1835
TU0-14322	b4259
TU00133	b2702 // b2703 // b2704 // b2705 // b2706 // b2707 // b2708
TU0-3141	b3338
TU0-12848	b0224
TU0-12866	b0267 // b0266 // b4505
TU0-6647	b0215
TU0-2505	b1274
TU0-12839	b0207
TU301	b2406 // b2407
TU0-14350	b1068
TU0-1761	b1482
TU0-13128	b1061
TU0-6021	b4138 // b4139
TU-8431	b2631
TU0-14800	b1760
TU0-8481	b3414
TU0-13442	b1868 // b1867
TU0-14099	b3973 // b3972
TU0-42537	b1094
TU0-14393	b0160
TU0-13501	b2073 // b2072
TU0-2644	b4439
TU0-13295	b1506
TU00381	b0903
TU0-13298	b1511
TU0-14489	b2892 // b2893 // b2894
TU00091	b3418
TU0-14681	b0144 // b0145
TU0-14174	b4253
TU0-8550	b4580
TU0-45195	b0999 // b1000
TU0-14043	b3818 // b3817
TU0-7803	b1641
TU0-42545	b4559 // b4128
TU0-13235	b4570 // b1368
TU0-13898	b3235 // b3234
TU00276	b1944 // b1945 // b1946 // b1947 // b1948 // b1949 // b1950
TU0-8705	b1534
TU00074	b0605 // b0606
TU0-13285	b1477
TU00392	b1037 // b1038 // b1039 // b1040
TU0-13688	b2622
TU796	b0118
TU0-13333	b1581 // b1580
TU0-1062	b3860
TU00493	b1665 // b1666
TU0-12834	b4406 // b0189
TU00356	b1763 // b1765 // b1764
TU0-14292	b3201 // b3200
TU0-7783	b0557
TU00199	b4070 // b4071 // b4072 // b4073 // b4074 // b4075 // b4076
TU0-13811	b2969 // b2968
TU0-5621	b3210
TU0-13407	b1797 // b1796
TU0-12888	b0310
TU0-12791	b0010
TU862	b2162
TU0-44213	b1710
TU0-14431	b4124
TU0-13444	b1876
TU0-42499	b1611 // b1612
TU0-14050	b3827
TU0-42561	b3235
TU0-2082	b1114
TU0-12827	b0168 // b0167 // b0166
TU0-12997	b0611
TU0-8553	b0454
TU00024	b2151
TU0-8729	b2233
TU0-5741	b4758 // b4050
TU0-13351	b4409
TU0-13965	b3518
TU0-6635	b3731 // b3732 // b3733 // b3734 // b3735 // b3736 // b3737 // b3738
TU00158	b1109
TU0-8810	b4455
TU0-13549	b2174 // b2173
TU0-13614	b2387 // b2386 // b2385 // b2384 // b2383
TU00228	b4476 // b3437
TU0-7746	b2371 // b2372 // b2373 // b2374 // b2375
TU0-13268	b1444
TU0-14243	b1432
TU0-13409	b1799
TU00180	b1183 // b1184
